GEOID,POSITIVE,DEATHS,HOSP_YES
55077960500,321,5.0,16.0
55077960400,269,,15.0
55077960200,209,,17.0
55077960300,374,10.0,19.0
55031021100,204,,14.0
55035001200,1027,,17.0
55075961300,277,,12.0
55075961400,428,5.0,27.0
55073000200,305,,10.0
55073000300,508,6.0,19.0
55073000500,320,,12.0
55073000601,217,,13.0
55073000602,371,5.0,21.0
55055101100,511,15.0,45.0
55055100300,673,6.0,22.0
55055100200,406,,15.0
55055101702,541,,26.0
55055101701,147,,7.0
55055100400,630,5.0,24.0
55055100500,604,9.0,30.0
55055101400,362,,12.0
55073000700,584,6.0,29.0
55073000800,388,13.0,20.0
55073000900,248,,10.0
55073001000,330,,14.0
55073001104,765,15.0,42.0
55055101202,127,,5.0
55055101300,647,10.0,41.0
55073001202,612,6.0,27.0
55127000400,537,27.0,24.0
55055101500,447,14.0,32.0
55055101201,189,,12.0
55055101600,483,,32.0
55055100800,340,,24.0
55055100100,593,9.0,35.0
55055100700,568,5.0,31.0
55055100602,266,,9.0
55055100900,290,,12.0
55055100601,109,,8.0
55055101000,394,,23.0
55141011000,544,5.0,27.0
55141011500,537,5.0,23.0
